FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
cooperz1a.main.z1.tdn.hzl.ilx.com,10.181.192.13/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
cooperz1a.out.z1.tdn.hzl.ilx.com,10.53.22.13/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
cooperz1b.idcm.z1.tdn.hzl.ilx.com,10.179.0.14/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
cooperz1b.main.z1.tdn.hzl.ilx.com,10.181.192.14/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
cooperz1b.out.z1.tdn.hzl.ilx.com,10.53.22.14/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
cqfepz1.apphost.z1.tdn.hzl.ilx.com,162.8.248.4/27,APPHOST,162.8.248.0/27,162.8.248.31,HDC-APPHOST-LAN,2247,NETCOMMS,CHASSIS,Business Site,YES
cqfepz1.web.z1.tdn.hzl.ilx.com,10.53.20.2/24,WEB,10.53.20.0/24,10.53.20.255,HZLP-93COLO-TDNM1-A-JUMBO-1,2210,WEB,CHASSIS,Business Site,YES
divotz1.a.arbi40.z1.tdn.hzl.ilx.com,10.179.4.1/27,A.ARBI40,10.179.4.0/27,10.179.4.31,HZL-COLO-MCE1-ARBI1-1,1700,ARBI40,ARBI40,Business Silo,
divotz1.filer.z1.tdn.hzl.ilx.com,10.181.194.9/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
divotz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.7/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
divotz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.17/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
divotz1.log.z1.tdn.hzl.ilx.com,10.179.3.68/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
divotz1.main.z1.tdn.hzl.ilx.com,10.181.192.17/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
divotz1.out.z1.tdn.hzl.ilx.com,10.53.22.17/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
divotz1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.197/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
dqtoolsz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.19/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
dqtoolsz1.main.z1.tdn.hzl.ilx.com,10.181.192.19/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
dqtoolsz1.out.z1.tdn.hzl.ilx.com,10.53.22.19/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
dtpfepcz1a.hyper.z1.tdn.hzl.ilx.com,10.53.21.8/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
dtpfepcz1n.hyper.z1.tdn.hzl.ilx.com,10.53.21.9/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
dtpz1b.fepc.z1.tdn.hzl.ilx.com,10.179.2.129/25,FEPC,10.179.2.128/25,10.179.2.255,HZL-COLO-MCE1-FEPC-1,1801,FEPC,FEPC,Business Site,
dtpz1b.filer.z1.tdn.hzl.ilx.com,10.181.194.11/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
dtpz1b.idcm.z1.tdn.hzl.ilx.com,10.179.0.20/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
dtpz1b.main.z1.tdn.hzl.ilx.com,10.181.192.20/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
dtpz1b.out.z1.tdn.hzl.ilx.com,10.53.22.20/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
eaglez1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.196/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,ARBI10,ARBI10,Business Silo,
eaglez1.a.arbi40.z1.tdn.hzl.ilx.com,10.179.4.2/27,A.ARBI40,10.179.4.0/27,10.179.4.31,HZL-COLO-MCE1-ARBI1-1,1700,ARBI40,ARBI40,Business Silo,
eaglez1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.131/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,ETG,ETG,Business Site,
eaglez1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.131/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,ETG,ETG,Business Site,
eaglez1.filer.z1.tdn.hzl.ilx.com,10.181.194.12/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
eaglez1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.9/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
eaglez1.idcm.z1.tdn.hzl.ilx.com,10.179.0.21/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
eaglez1.log.z1.tdn.hzl.ilx.com,10.179.3.69/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
eaglez1.main.z1.tdn.hzl.ilx.com,10.181.192.21/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
eaglez1.out.z1.tdn.hzl.ilx.com,10.53.22.21/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
fairwayz1.a.arbi40.z1.tdn.hzl.ilx.com,10.179.4.3/27,A.ARBI40,10.179.4.0/27,10.179.4.31,HZL-COLO-MCE1-ARBI1-1,1700,ARBI40,ARBI40,Business Silo,
fairwayz1.filer.z1.tdn.hzl.ilx.com,10.181.194.14/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
fairwayz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.11/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
fairwayz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.23/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
