System Name,Model Name,Serial Number,Cabinet Name,System Port Name,Switch Name,Switch Cabinet Name,Switch Port Name,Logical Net Group,Port Speed
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/09,EXCH,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 2 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/10,EXCH,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 7 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/07,PRODHYPER,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 9 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/07,PRODHYPER,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 2 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/12,FEED,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 3 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/11,FEPC,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 7 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/12,FEED,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 1 port 1,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/11,FEPC,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 9 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/11,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 1 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/12,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/11,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 2 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/12,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 7 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/08,PRODHYPER,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 9 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/08,PRODHYPER,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/14,FEPC,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 6 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/14,FEPC,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/11,PROD,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 6 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/11,PROD,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 4 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/10,GTDL,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 9 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/11,LOG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/10,GTDL,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 11 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/11,LOG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 7 port 1,HZL-COLO-NONPTDNAGG3-SWA3,HZL-Q1-C1,E1/06,ARBI40,40Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 1 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/05,ARBI10,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 1 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/06,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 4 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/07,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 2 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/05,ARBI10,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 2 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/06,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/07,ETG,10Gb
