FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
boxerz2.web.z2.tdn.hzl.ilx.com,10.53.20.21/24,WEB,10.53.20.0/24,10.53.20.255,HZLP-93COLO-TDNM1-A-JUMBO-1,2210,WEB,BUILD,Business Site,YES
celtserverz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.50/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
celtstoragez2.idcm.z2.tdn.hzl.ilx.com,10.179.0.160/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
celtstoragez2.main.z2.tdn.hzl.ilx.com,10.181.192.160/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
celtstoragez2.out.z2.tdn.hzl.ilx.com,10.53.22.137/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
cleekz2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.227/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,ARBI10,ARBI10,Business Silo,
cleekz2.filer.z2.tdn.hzl.ilx.com,10.181.194.8/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
cleekz2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.6/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
cleekz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.12/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
cleekz2.log.z2.tdn.hzl.ilx.com,10.179.3.131/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
cleekz2.main.z2.tdn.hzl.ilx.com,10.181.192.12/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
cleekz2.out.z2.tdn.hzl.ilx.com,10.53.22.12/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
cleekz2.tpfun.z2.tdn.hzl.ilx.com,10.179.3.196/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
cooperz2a.idcm.z2.tdn.hzl.ilx.com,10.179.0.15/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
cooperz2a.main.z2.tdn.hzl.ilx.com,10.181.192.15/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
cooperz2a.out.z2.tdn.hzl.ilx.com,10.53.22.15/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
cooperz2b.idcm.z2.tdn.hzl.ilx.com,10.179.0.16/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
cooperz2b.main.z2.tdn.hzl.ilx.com,10.181.192.16/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
cooperz2b.out.z2.tdn.hzl.ilx.com,10.53.22.16/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
divotz2.a.arbi40.z2.tdn.hzl.ilx.com,10.179.4.33/27,A.ARBI40,10.179.4.32/27,10.179.4.63,HZL-COLO-MCE1-ARBI2-1,1701,ARBI40,ARBI40,Business Silo,
