FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
cmefepz2.fepc.z2.tdn.hzl.ilx.com,10.179.2.133/25,FEPC,10.179.2.128/25,10.179.2.255,HZL-COLO-MCE1-FEPC-1,1801,dtpfepcz2a,FEPC,FEPC,Business Site,
cmefepz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.72/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
cmefepz2.main.z2.tdn.hzl.ilx.com,10.181.192.72/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
cmefepz2.out.z2.tdn.hzl.ilx.com,10.53.22.72/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
dpfunz2.a.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.111/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,pfunz2,TKR,TKR,Business Site,
dpfunz2.b.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.175/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,pfunz2,TKR,TKR,Business Site,
dpfunz2.filer.z2.tdn.hzl.ilx.com,10.181.194.44/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,pfunz2,PROD,PRODHYPER,Business Site,YES
dpfunz2.fundist1.z2.tdn.hzl.ilx.com,162.8.205.13/27,FUNDIST1,162.8.205.0/27,162.8.205.31,HZL-COLO-MCE1-FUNDIST1-1,258,pfunz2,FUNDIST,FUNDIST,Business Product,
dpfunz2.fundist2.z2.tdn.hzl.ilx.com,162.8.253.237/27,FUNDIST2,162.8.253.224/27,162.8.253.255,HZL-COLO-MCE1-FUNDIST2-1,13,pfunz2,FUNDIST,FUNDIST,Business Product,
dpfunz2.funmcast1.z2.tdn.hzl.ilx.com,162.8.200.13/27,FUNMCAST1,162.8.200.0/27,162.8.200.31,HZL-COLO-MCE1-FUNMCAST1-1,258,pfunz2,FUNDIST,FUNDIST,Business Product,
dpfunz2.funmcast2.z2.tdn.hzl.ilx.com,162.8.201.13/27,FUNMCAST2,162.8.201.0/27,162.8.201.31,HZL-COLO-MCE1-FUNMCAST2-1,13,pfunz2,FUNDIST,FUNDIST,Business Product,
dpfunz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.74/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,pfunz2,PROD,PRODHYPER,Business Site,YES
dpfunz2.main.z2.tdn.hzl.ilx.com,10.181.192.74/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,pfunz2,PROD,PRODHYPER,Business Site,YES
dpfunz2.out.z2.tdn.hzl.ilx.com,10.53.22.74/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,pfunz2,PROD,PRODHYPER,Business Site,YES
dpfunz2.tpfun.z2.tdn.hzl.ilx.com,10.179.3.210/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,pfunz2,TPFUN,TPFUN,Business Site,
ecntpz2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.237/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,bookz2,ARBI10,ARBI10,Business Silo,
ecntpz2.a.arbi40.z2.tdn.hzl.ilx.com,10.179.4.36/27,A.ARBI40,10.179.4.32/27,10.179.4.63,HZL-COLO-MCE1-ARBI2-1,1701,bookz2,ARBI40,ARBI40,Business Silo,
ecntpz2.feed.z2.tdn.hzl.ilx.com,10.179.2.4/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,bookz2,FEED,FEED,Business Site,
ecntpz2.filer.z2.tdn.hzl.ilx.com,10.181.194.47/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,bookz2,PROD,PRODHYPER,Business Site,YES
ecntpz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.77/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,bookz2,PROD,PRODHYPER,Business Site,YES
ecntpz2.main.z2.tdn.hzl.ilx.com,10.181.192.77/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,bookz2,PROD,PRODHYPER,Business Site,YES
ecntpz2.out.z2.tdn.hzl.ilx.com,10.53.22.77/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,bookz2,PROD,PRODHYPER,Business Site,YES
ecnz2.a1.exch.z2.tdn.hzl.ilx.com,159.44.249.7/26,A1.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz2a,EXCH,EXCH,Business Site,
ecnz2.a2.exch.z2.tdn.hzl.ilx.com,159.44.249.14/26,A2.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz2a,EXCH,EXCH,Business Site,
ecnz2.b1.exch.z2.tdn.hzl.ilx.com,159.44.253.7/26,B1.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz2a,EXCH,EXCH,Business Site,
ecnz2.b2.exch.z2.tdn.hzl.ilx.com,159.44.253.14/26,B2.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz2a,EXCH,EXCH,Business Site,
ecnz2.feed.z2.tdn.hzl.ilx.com,10.179.2.6/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,dtpfepcz2a,FEED,FEED,Business Site,
ecnz2.fepc.z2.tdn.hzl.ilx.com,10.179.2.135/25,FEPC,10.179.2.128/25,10.179.2.255,HZL-COLO-MCE1-FEPC-1,1801,dtpfepcz2a,FEPC,FEPC,Business Site,
ecnz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.79/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
ecnz2.main.z2.tdn.hzl.ilx.com,10.181.192.79/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
ecnz2.out.z2.tdn.hzl.ilx.com,10.53.22.79/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,dtpfepcz2a,PROD,PRODHYPER,Business Site,YES
