FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
brassieq1.gtdl.q1.tdnqa.hzl.ilx.com,10.179.11.4/26,GTDL,10.179.11.0/26,10.179.11.63,HZL-COLO-MCE2-GTDL-1,1802,itcfepcq1a,GTDL,GTDL,Business Site,
brassieq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.88/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
brassieq1.log.q1.tdnqa.hzl.ilx.com,10.179.11.68/26,LOG,10.179.11.64/26,10.179.11.127,HZL-COLO-MCE2-LOG1-1,1803,itcfepcq1a,LOG,LOG,Business Silo,
brassieq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.88/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
brassieq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.88/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
bsdsrvq1.apphost.q1.tdnqa.hzl.ilx.com,10.53.35.72/27,APPHOST,10.53.35.64/27,10.53.35.95,HZLS-93COLO-TDNM1-A-APPHOST-1,2546,netsrvq1,NETCOMMS,PRODPDNHYPER,Business Site,YES
bsdsrvq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.7/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,netsrvq1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.29/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,netsrvq1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.29/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,netsrvq1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.29/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,netsrvq1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq2.apphost.q1.tdnqa.hzl.ilx.com,10.53.35.79/27,APPHOST,10.53.35.64/27,10.53.35.95,HZLS-93COLO-TDNM1-A-APPHOST-1,2546,netsrvq2,NETCOMMS,PRODPDNHYPER,Business Site,YES
bsdsrvq2.filer.q1.tdnqa.hzl.ilx.com,10.181.198.14/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,netsrvq2,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq2.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.36/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,netsrvq2,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq2.main.q1.tdnqa.hzl.ilx.com,10.181.196.36/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,netsrvq2,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvq2.out.q1.tdnqa.hzl.ilx.com,10.53.30.36/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,netsrvq2,PROD,PRODPDNHYPER,Business Site,YES
bunkerq1.a.arbi10.q1.tdnqa.hzl.ilx.com,10.179.12.198/27,A.ARBI10,10.179.12.192/27,10.179.12.223,HZL-COLO-MCE2-ARBI1-2,1702,itcfepcq1b,ARBI10,ARBI10,Business Silo,
bunkerq1.a1.etg.q1.tdnqa.hzl.ilx.com,10.110.17.138/25,A1.ETG,10.110.17.128/25,10.110.17.255,PPE_ERB-Hash-LAN-A,817,itcfepcq1b,ETG,ETG,Business Site,
bunkerq1.b1.etg.q1.tdnqa.hzl.ilx.com,10.110.18.138/25,B1.ETG,10.110.18.128/25,10.110.18.255,PPE_ERB-Hash-LAN-B,818,itcfepcq1b,ETG,ETG,Business Site,
bunkerq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.35/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,itcfepcq1b,PROD,PRODHYPER,Business Site,YES
bunkerq1.gtdl.q1.tdnqa.hzl.ilx.com,10.179.11.5/26,GTDL,10.179.11.0/26,10.179.11.63,HZL-COLO-MCE2-GTDL-1,1802,itcfepcq1b,GTDL,GTDL,Business Site,
bunkerq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.89/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,itcfepcq1b,PROD,PRODHYPER,Business Site,YES
bunkerq1.log.q1.tdnqa.hzl.ilx.com,10.179.11.69/26,LOG,10.179.11.64/26,10.179.11.127,HZL-COLO-MCE2-LOG1-1,1803,itcfepcq1b,LOG,LOG,Business Silo,
bunkerq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.89/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,itcfepcq1b,PROD,PRODHYPER,Business Site,YES
bunkerq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.89/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,itcfepcq1b,PROD,PRODHYPER,Business Site,YES
celtq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.27/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,celtserverq1,PROD,PRODHYPER,Business Site,YES
celtq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.75/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,celtserverq1,PROD,PRODHYPER,Business Site,YES
celtq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.75/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,celtserverq1,PROD,PRODHYPER,Business Site,YES
celtq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.75/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,celtserverq1,PROD,PRODHYPER,Business Site,YES
cmefepq1.a1.exch.q1.tdnqa.hzl.ilx.com,159.44.249.69/26,A1.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq1a,EXCH,EXCH,Business Site,
cmefepq1.a2.exch.q1.tdnqa.hzl.ilx.com,159.44.249.70/26,A2.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq1a,EXCH,EXCH,Business Site,
cmefepq1.b1.exch.q1.tdnqa.hzl.ilx.com,159.44.253.69/26,B1.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq1a,EXCH,EXCH,Business Site,
cmefepq1.b2.exch.q1.tdnqa.hzl.ilx.com,159.44.253.70/26,B2.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq1a,EXCH,EXCH,Business Site,
cmefepq1.feed.q1.tdnqa.hzl.ilx.com,10.179.10.3/25,FEED,10.179.10.0/25,10.179.10.127,HZL-COLO-MCE2-FEED-1,1800,dtpfepcq1a,FEED,FEED,Business Site,
cmefepq1.fepc.q1.tdnqa.hzl.ilx.com,10.179.10.131/25,FEPC,10.179.10.128/25,10.179.10.255,HZL-COLO-MCE2-FEPC-1,1801,dtpfepcq1a,FEPC,FEPC,Business Site,
cmefepq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.41/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,dtpfepcq1a,PROD,PRODHYPER,Business Site,YES
cmefepq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.41/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,dtpfepcq1a,PROD,PRODHYPER,Business Site,YES
cmefepq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.41/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,dtpfepcq1a,PROD,PRODHYPER,Business Site,YES
cmefepq2.a1.exch.q1.tdnqa.hzl.ilx.com,159.44.249.93/26,A1.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq2a,EXCH,EXCH,Business Site,
cmefepq2.a2.exch.q1.tdnqa.hzl.ilx.com,159.44.249.94/26,A2.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq2a,EXCH,EXCH,Business Site,
cmefepq2.b1.exch.q1.tdnqa.hzl.ilx.com,159.44.253.93/26,B1.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq2a,EXCH,EXCH,Business Site,
cmefepq2.b2.exch.q1.tdnqa.hzl.ilx.com,159.44.253.94/26,B2.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq2a,EXCH,EXCH,Business Site,
